,suburb,propert_desc,address,price,property_details,property_features,image
23,"Fourways, Sunninghill and Lonehill",3 Bed Apartment in Broadacres,"1414 Umthunzi Gardens, 30 Lombardy Road",R 1 650 000,"['Listing number\nT4774144', 'Property type\nApartment', 'Erf size\n1 439 m²', 'Floor size\n101 m²', 'Levies\nR 1 744']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/868/16/10632868/images/property-10632868-80951051_dhd.jpg
24,"Fourways, Sunninghill and Lonehill",601 m² Land available in Dainfern,"5368 Helderfontein Estate, 5368 Celery Drive",R 1 780 000,"['Listing number\nT4785187', 'Property type\nResidential Land', 'Erf size\n601 m²', 'Rates and taxes\nR 4 000', 'Levies\nR 3 200']",[],https://helium.privateproperty.co.za/live-za-images/property/1694/25/10651694/images/property-10651694-40450014_dhd.jpg
25,"Fourways, Sunninghill and Lonehill",3 Bed Apartment in Fourways,"88 Key Largo, 30 Othello Avenue",R 1 999 000,"['Listing number\nT4661978', 'Property type\nApartment', 'Floor size\n99 m²', 'Rates and taxes\nR 1 561', 'Levies\nR 2 090']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Open Parkings\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1831/20/10441831/images/property-10441831-99316807_dhd.jpg
26,"Fourways, Sunninghill and Lonehill",597 m² Land available in Dainfern,"5540 Helderfontein Estate, 5540 Barracuda Drive",R 2 060 000,"['Listing number\nT4785088', 'Property type\nResidential Land', 'Erf size\n597 m²', 'Rates and taxes\nR 4 000', 'Levies\nR 3 200']",[],https://helium.privateproperty.co.za/live-za-images/property/1549/25/10651549/images/property-10651549-99066689_dhd.jpg
27,"Fourways, Sunninghill and Lonehill",3 Bed House in Broadacres,"27 Maroela View, 4 Poplar Avenue Craigavon",R 2 499 000,"['Listing number\nT4470435', 'Property type\nHouse', 'Floor size\n170 m²', 'Levies\nR 2 528']","['Bedrooms\n3', 'Bathrooms\n2.5', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n2']",https://helium.privateproperty.co.za/live-za-images/property/1628/15/10131628/images/property-10131628-37381290_dhd.jpg
28,"Fourways, Sunninghill and Lonehill",4 Bed House in Broadacres,"25 Maroela View, 4 Poplar Avenue Craigavon",R 2 699 000,"['Listing number\nT4470458', 'Property type\nHouse', 'Floor size\n185 m²', 'Levies\nR 2 758']","['Bedrooms\n4', 'Bathrooms\n2.5', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n2']",https://helium.privateproperty.co.za/live-za-images/property/1668/15/10131668/images/property-10131668-39406966_dhd.jpg
29,"Fourways, Sunninghill and Lonehill",3 Bed House in Fourways,"2 Brendavere Estate, 2 Linton Close",R 2 985 000,"['Listing number\nT4756571', 'Property type\nHouse', 'Erf size\n412 m²', 'Floor size\n190 m²', 'Rates and taxes\nR 750', 'Levies\nR 1 650']","['Bedrooms\n3', 'Bathrooms\n2.5', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n2']",https://helium.privateproperty.co.za/live-za-images/property/1354/1/10603354/images/property-10603354-981397_dhd.jpg
30,"Fourways, Sunninghill and Lonehill",3 Bed Cluster in Craigavon,"29 Pine Avon, 18 Pine Avenue",R 2 995 000,"['Listing number\nT3013306', 'Property type\nCluster', 'Floor size\n237.5 m²', 'Rates and taxes\nR 1 350', 'Levies\nR 2 250']","['Bedrooms\n3', 'Bathrooms\n3.5', 'En-suite\n3', 'Lounges\n2', 'Dining Areas\n1', 'Garages\n2']",https://helium.privateproperty.co.za/live-za-images/property/1070/40/7181070/images/property-7181070-95627074_dhd.jpg
31,"Fourways, Sunninghill and Lonehill",3 Bed Townhouse in Craigavon,"17 Pine Avon, 18 Pine Avenue",R 2 995 500,"['Listing number\nT3208788', 'Property type\nTownhouse', 'Erf size\n237 m²', 'Floor size\n228 m²', 'Rates and taxes\nR 1 350', 'Levies\nR 2 250']","['Bedrooms\n3', 'Bathrooms\n3.5', 'En-suite\n3', 'Lounges\n2', 'Dining Areas\n1', 'Garages\n2', 'Storeys\n2']",https://helium.privateproperty.co.za/live-za-images/property/103/6/7612103/images/property-7612103-45907759_sd.jpg
32,"Fourways, Sunninghill and Lonehill",3 Bed Cluster in Broadacres,47 Cobbleway Country Estate,R 3 000 000,"['Listing number\nT4776674', 'Property type\nCluster', 'Floor size\n341 m²', 'Rates and taxes\nR 1 762']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n2', 'Storeys\n2']",https://helium.privateproperty.co.za/live-za-images/property/1428/18/10637428/images/property-10637428-66468979_dhd.jpg
33,"Fourways, Sunninghill and Lonehill",3 Bed Cluster in Fourways,"15 Brendavere Estate, 15 Linton Close",R 3 620 000,"['Listing number\nT4649574', 'Property type\nCluster', 'Erf size\n430 m²', 'Floor size\n255 m²', 'Rates and taxes\nR 1 250', 'Levies\nR 1 500']","['Bedrooms\n3', 'Bathrooms\n3.5', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n2']",https://helium.privateproperty.co.za/live-za-images/property/836/10/10420836/images/property-10420836-2998748_dhd.jpg
