,suburb,propert_desc,address,price,property_details,property_features,image
78,Rosebank and Parktown,2 Bed Apartment in Cheltondale,"24 Chelton Oaks, 21 Cheltondale Road",R 695 000,"['Listing number\nT4409288', 'Property type\nApartment', 'Erf size\n9 174 m²', 'Floor size\n75 m²', 'Rates and taxes\nR 591', 'Levies\nR 2 590']","['Bedrooms\n2', 'Bathrooms\n1', 'Open Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/1943/12/10025943/images/property-10025943-77655390_sd.jpg
79,Rosebank and Parktown,2 Bed Apartment in Norwood,"10 Casa Barragan, 77 Iris Road",R 699 000,"['Listing number\nT4525292', 'Property type\nApartment', 'Floor size\n71 m²', 'Rates and taxes\nR 560', 'Levies\nR 2 434']","['Bedrooms\n2', 'Bathrooms\n1.5', 'Lounges\n1', 'Dining Areas\n1', 'Garages\n1']",https://helium.privateproperty.co.za/live-za-images/property/1622/9/10219622/images/property-10219622-39506565_dhd.jpg
80,Rosebank and Parktown,3 Bed Apartment in Gresswold,21 St Benedict Rd,R 699 999,"['Listing number\nT4706761', 'Property type\nApartment', 'Floor size\n117 m²', 'Rates and taxes\nR 336', 'Levies\nR 2 428']","['Bedrooms\n3', 'Bathrooms\n1.5', 'Lounges\n1']",https://helium.privateproperty.co.za/live-za-images/property/1409/8/10517409/images/property-10517409-6536752_dhd.jpg
81,Rosebank and Parktown,1 Bed Apartment in Killarney,"311 Dukes Court, 1st Avenue",R 725 000,"['Listing number\nT3925024', 'Property type\nApartment', 'Floor size\n98 m²', 'Rates and taxes\nR 942', 'Levies\nR 1 937']","['Bedrooms\n1', 'Bathrooms\n1', 'Garages\n1']",https://helium.privateproperty.co.za/live-za-images/property/1685/11/9123685/images/property-9123685-56345186_dhd.jpg
82,Rosebank and Parktown,2 Bed Apartment in Parktown,"605 Parktown Mansions, 2 Wellington Rd",R 725 000,"['Listing number\nT4628779', 'Property type\nApartment', 'Floor size\n102 m²', 'Rates and taxes\nR 645', 'Levies\nR 2 500']","['Bedrooms\n2', 'Bathrooms\n1', 'Lounges\n2', 'Garages\n1', 'Open Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/196/43/10386196/images/property-10386196-14852135_sd.jpg
83,Rosebank and Parktown,2 Bed Apartment in Houghton Estate,"12 Houghton Hall, 15 Young Avenue",R 740 000,"['Listing number\nT4532651', 'Property type\nApartment', 'Erf size\n77 m²', 'Floor size\n77 m²', 'Rates and taxes\nR 425', 'Levies\nR 2 500']","['Bedrooms\n2', 'Bathrooms\n1', 'Lounges\n1', 'Dining Areas\n1']",https://helium.privateproperty.co.za/live-za-images/property/909/15/10230909/images/property-10230909-19711249_dhd.jpg
84,Rosebank and Parktown,1 Bed Apartment in Waverley,"13 Via Siena, 13 52 Burn Street",R 745 000,"['Listing number\nT3926736', 'Property type\nApartment', 'Floor size\n58 m²', 'Rates and taxes\nR 560', 'Levies\nR 1 800']","['Bedrooms\n1', 'Bathrooms\n1', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Open Parkings\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/643/13/9126643/images/property-9126643-90301536_sd.jpg
85,Rosebank and Parktown,1 Bed Apartment in Melrose,"16 Kernick Place, 41 Westwood Avenue",R 749 000,"['Listing number\nT4646136', 'Property type\nApartment', 'Floor size\n56 m²', 'Rates and taxes\nR 599', 'Levies\nR 2 798']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1']",https://helium.privateproperty.co.za/live-za-images/property/1201/7/10415201/images/property-10415201-92481558_dhd.jpg
86,Rosebank and Parktown,1 Bed Apartment in Killarney,"87 Ss Park Avenue, 30 3rd Street",R 750 000,"['Listing number\nT4790652', 'Property type\nApartment', 'Erf size\n5 758 m²', 'Floor size\n55 m²', 'Rates and taxes\nR 1 500', 'Levies\nR 1 900']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1', 'Dining Areas\n1']",https://helium.privateproperty.co.za/live-za-images/property/922/30/10660922/images/property-10660922-20509126_dhd.jpg
87,Rosebank and Parktown,1 Bed Apartment in Killarney,"1 Killarney Court, 25 First Street",R 750 000,"['Listing number\nT4166144', 'Property type\nApartment', 'Floor size\n64 m²', 'Rates and taxes\nR 940', 'Levies\nR 1 650']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1', 'Dining Areas\n1', 'Open Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/1020/35/9571020/images/property-9571020-41632880_sd.jpg
88,Rosebank and Parktown,1 Bed Apartment in Waverley,"13 Via Siena, 14 Scott Street",R 750 000,"['Listing number\nT3887599', 'Property type\nApartment', 'Erf size\n8 117 m²', 'Floor size\n52 m²', 'Rates and taxes\nR 697', 'Levies\nR 1 150']","['Bedrooms\n1', 'Bathrooms\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/1819/24/9049819/images/property-9049819-50244095_dhd.jpg
89,Rosebank and Parktown,2 Bed Apartment in Gresswold,"13 Manhattan Place, 17 St Benedict",R 759 000,"['Listing number\nT4459039', 'Property type\nApartment', 'Floor size\n82 m²', 'Rates and taxes\nR 520', 'Levies\nR 2 384']","['Bedrooms\n2', 'Bathrooms\n2', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1280/4/10109280/images/property-10109280-52913946_dhd.jpg
90,Rosebank and Parktown,1 Bed Apartment in Killarney,"Killarney Court, 17, 1st Street",R 770 000,"['Listing number\nT4779755', 'Property type\nApartment', 'Floor size\n60 m²', 'Rates and taxes\nR 600', 'Levies\nR 2 400']","['Bedrooms\n1', 'Bathrooms\n1', 'Open Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/370/21/10642370/images/property-10642370-84499352_dhd.jpg
91,Rosebank and Parktown,3 Bed Townhouse in Highlands North,"18 Highlands Gardens, 528 Athol Street",R 780 000,"['Listing number\nT4712269', 'Property type\nTownhouse', 'Erf size\n7 163 m²', 'Floor size\n139 m²', 'Rates and taxes\nR 400', 'Levies\nR 2 608']","['Bedrooms\n3', 'Bathrooms\n2.5', 'Lounges\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/1237/13/10527237/images/property-10527237-34001860_sd.jpg
92,Rosebank and Parktown,1 Bed Townhouse in Houghton Estate,"341 Houghton Village, 6 Boundary Road",R 799 000,"['Listing number\nT4456572', 'Property type\nTownhouse', 'Floor size\n71 m²', 'Rates and taxes\nR 200', 'Levies\nR 1 629']","['Bedrooms\n1', 'Bathrooms\n1', 'Lounges\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1083/2/10105083/images/property-10105083-17982159_sd.jpg
93,Rosebank and Parktown,2 Bed Flat in Parktown,"306 San Francisco, 10 Park Lane",R 800 000,"['Listing number\nZ48940', 'Property type\nFlat', 'Floor size\n100 m²', 'Rates and taxes\nR 350', 'Levies\nR 1 900']","['Bedrooms\n2', 'Bathrooms\n1', 'Lounges\n1', 'Covered Parkings\n1', 'Storeys\n3']",https://helium.privateproperty.co.za/live-za-images/property/332/38/10676332/images/property-10676332-75810375_sd.jpg
