,suburb,propert_desc,address,price,property_details,property_features,image
208,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 290 000,"['Listing number\nT4429438', 'Property type\nApartment', 'Erf size\n12.8 ha', 'Floor size\n103 m²', 'Levies\nR 1 490']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1']",https://helium.privateproperty.co.za/live-za-images/property/1671/29/10059671/images/property-10059671-27494870_dhd.jpg
209,Modderfontein,2 Bed Apartment in Modderfontein,,R 1 290 000,"['Listing number\nT4391583', 'Property type\nApartment', 'Erf size\n7.4 ha', 'Floor size\n92 m²', 'Rates and taxes\nR 2 100', 'Levies\nR 1 000']","['Bedrooms\n2', 'Bathrooms\n2', 'Lounges\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/358/47/9994358/images/property-9994358-33575594_sd.jpg
210,Modderfontein,2 Bed Apartment in Modderfontein,,R 1 295 000,"['Listing number\nT4724798', 'Property type\nApartment', 'Floor size\n106 m²', 'Rates and taxes\nR 1 180', 'Levies\nR 2 600']","['Bedrooms\n2', 'Bathrooms\n2', 'Garages\n1']",https://helium.privateproperty.co.za/live-za-images/property/853/24/10548853/images/property-10548853-33490196_dhd.jpg
211,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 300 000,"['Listing number\nT4797581', 'Property type\nApartment', 'Floor size\n2 558 m²', 'Rates and taxes\nR 985', 'Levies\nR 2 558']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/660/36/10672660/images/property-10672660-6444396_dhd.jpg
212,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 300 000,"['Listing number\nT4787258', 'Property type\nApartment', 'Erf size\n103 m²', 'Floor size\n103 m²', 'Rates and taxes\nR 1 478', 'Levies\nR 2 558']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1']",https://helium.privateproperty.co.za/live-za-images/property/1159/27/10655159/images/property-10655159-1782546_dhd.jpg
213,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 300 000,"['Listing number\nT4756103', 'Property type\nApartment', 'Erf size\n7 420 m²', 'Floor size\n103 m²', 'Rates and taxes\nR 1 520', 'Levies\nR 2 690']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/594/1/10602594/images/property-10602594-48079156_dhd.jpg
214,Modderfontein,2 Bed Apartment in Modderfontein,,R 1 300 000,"['Listing number\nT4658344', 'Property type\nApartment', 'Floor size\n106 m²', 'Rates and taxes\nR 1 448', 'Levies\nR 2 631']","['Bedrooms\n2', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Open Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1308/17/10435308/images/property-10435308-60010677_dhd.jpg
215,Modderfontein,2 Bed Apartment in Modderfontein,,R 1 350 000,"['Listing number\nT4765159', 'Property type\nApartment', 'Floor size\n96 m²', 'Rates and taxes\nR 1 057', 'Levies\nR 2 880']","['Bedrooms\n2', 'Bathrooms\n2', 'Lounges\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1721/8/10617721/images/property-10617721-31221310_sd.jpg
216,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 350 000,"['Listing number\nT4355484', 'Property type\nApartment', 'Erf size\n112 m²', 'Floor size\n112 m²', 'Rates and taxes\nR 550', 'Levies\nR 1 770']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Open Parkings\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/622/13/9926622/images/property-9926622-93370876_sd.jpg
217,Modderfontein,2 Bed Apartment in Modderfontein,,R 1 350 000,"['Listing number\nT4647689', 'Property type\nApartment', 'Floor size\n96 m²', 'Rates and taxes\nR 1 057', 'Levies\nR 2 882']","['Bedrooms\n2', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1776/8/10417776/images/property-10417776-22557219_dhd.jpg
218,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 350 000,"['Listing number\nT4627755', 'Property type\nApartment', 'Erf size\n86 m²', 'Floor size\n86 m²', 'Rates and taxes\nR 1 065', 'Levies\nR 2 599']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1']",https://helium.privateproperty.co.za/live-za-images/property/413/42/10384413/images/property-10384413-97428091_sd.jpg
219,Modderfontein,2 Bed Apartment in Modderfontein,,R 1 399 000,"['Listing number\nT4800640', 'Property type\nApartment', 'Floor size\n92 m²', 'Rates and taxes\nR 1 100', 'Levies\nR 2 600']","['Bedrooms\n2', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Open Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1840/38/10677840/images/property-10677840-58348851_dhd.jpg
220,Modderfontein,3 Bed Townhouse in Modderfontein,,R 1 399 000,"['Listing number\nT4772069', 'Property type\nTownhouse', 'Floor size\n86 m²', 'Levies\nR 2 110']","['Bedrooms\n3', 'Bathrooms\n2', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1337/14/10629337/images/property-10629337-73185151_sd.jpg
221,Modderfontein,2 Bed Townhouse in Modderfontein,,R 1 399 000,"['Listing number\nT4492536', 'Property type\nTownhouse', 'Erf size\n5.3 ha', 'Floor size\n92 m²', 'Rates and taxes\nR 989', 'Levies\nR 2 393']","['Bedrooms\n2', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1558/33/10167558/images/property-10167558-69812438_dhd.jpg
222,Modderfontein,2 Bed Apartment in Modderfontein,,R 1 450 000,"['Listing number\nT4381726', 'Property type\nApartment', 'Floor size\n103 m²', 'Rates and taxes\nR 1 448', 'Levies\nR 1 789']","['Bedrooms\n2', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/53/38/9976053/images/property-9976053-70344611_dhd.jpg
223,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 490 000,"['Listing number\nT4700284', 'Property type\nApartment', 'Floor size\n104 m²', 'Rates and taxes\nR 1 027', 'Levies\nR 2 615']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/14/3/10506014/images/property-10506014-7141496_dhd.jpg
224,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 495 000,"['Listing number\nT4801105', 'Property type\nApartment', 'Floor size\n86 m²', 'Rates and taxes\nR 833', 'Levies\nR 2 220']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Open Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/575/39/10678575/images/property-10678575-66270170_dhd.jpg
225,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 495 000,"['Listing number\nT4702010', 'Property type\nApartment', 'Floor size\n86 m²', 'Rates and taxes\nR 962', 'Levies\nR 2 178']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/1135/4/10509135/images/property-10509135-78491620_sd.jpg
226,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 495 000,"['Listing number\nT4066347', 'Property type\nApartment', 'Floor size\n86 m²', 'Rates and taxes\nR 962', 'Levies\nR 2 178']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Open Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/456/46/9392456/images/property-9392456-77908247_dhd.jpg
227,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 499 000,"['Listing number\nT4683791', 'Property type\nApartment', 'Floor size\n104 m²', 'Rates and taxes\nR 925', 'Levies\nR 2 615']","['Bedrooms\n3', 'Bathrooms\n2', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/22/39/10478022/images/property-10478022-86621691_sd.jpg
228,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 499 000,"['Listing number\nT4506483', 'Property type\nApartment', 'Floor size\n104 m²', 'Rates and taxes\nR 1 000', 'Levies\nR 2 600']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Dining Areas\n1', 'Covered Parkings\n2']",https://helium.privateproperty.co.za/live-za-images/property/1599/44/10189599/images/property-10189599-87301959_dhd.jpg
229,Modderfontein,3 Bed Apartment in Modderfontein,,R 1 499 000,"['Listing number\nT4453140', 'Property type\nApartment', 'Floor size\n108 m²', 'Rates and taxes\nR 1 095', 'Levies\nR 2 288']","['Bedrooms\n3', 'Bathrooms\n2']",https://helium.privateproperty.co.za/live-za-images/property/1390/49/10099390/images/property-10099390-51733107_sd.jpg
230,Modderfontein,3 Bed Townhouse in Greenstone Gate,,R 1 500 000,"['Listing number\nT4660316', 'Property type\nTownhouse', 'Floor size\n97 m²', 'Rates and taxes\nR 890', 'Levies\nR 2 486']","['Bedrooms\n3', 'Bathrooms\n2', 'En-suite\n1', 'Lounges\n1', 'Covered Parkings\n1']",https://helium.privateproperty.co.za/live-za-images/property/836/19/10438836/images/property-10438836-10983001_sd.jpg
